nombre comercial,direccion,código postal,zona,teléfono,fax,email,web,contacto,sector,actividad1,actividad2,lat,lon
"CONTROL FIRE","CL REYES CATOLICOS (DE LOS) 6 NAVE 6","28108","POLIGONO INDUSTRIAL","916969001","911278015","administracion@controlfire.es","www.controlfire.es","ANGEL PURTELA","","SERVICIOS DE FUMIGACION. PROTECCION ANTIINCENDIOS","INSTALADORES Y MANTENEDORES DE SISTEMAS DE PROTECCION CONTRA INCENDIOS",40.53652585,-3.65212849
"CONYCAL","AV VALDELAPARRA (DE) 39 - NAVE F","28108","POLIGONO INDUSTRIAL","916616027","916616478","info@conycal.com","www.conycal.com","DIANA LOBO ARRANZ","","ELECTRICIDAD, ELECTRONICA, AUDIO Y TELECOMUNICACIONES","ALMACÉN DE MATERIAL ELÉCTRICO E ILUMINACIÓN",40.53965285,-3.64988822
"CORREDURIA DE SEGUROS INVERIUM","CR FUENCARRAL (DE) 56 OFICINA 70","28108","POLIGONO INDUSTRIAL","913589379","NO DISPONIBLE","info@inverium.es","www.inverium.es","JOSE LUIS DOMINGUEZ / ANGEL SERRANO","","SEGUROS GENERALES, MUTUAS DE ACCIDENTES","CORREDURIA DE SEGUROS",40.51888227,-3.65470622
"COSERPEM SLV","CL VALPORTILLO I (DE) 7","28108","POLIGONO INDUSTRIAL","916572655","916572655","info@coserpem.com","www.coserpem.com","FRANCISCO JAVIER MORALES","","GESTORES, ASESORES, CONSULTORES, INGENIEROS Y ADMINISTRACION DE FINCAS","ASESORAMIENTO CONTABLE, FISCAL, LABORAL",40.53086086,-3.65405459
"COTY","AV BRUSELAS (DE) 24 1º PLANTA","28108","ARROYO DE LA VEGA","914192315","916766843","rebeca_lopez@cotyinc.com","www.coty.com","REBECA LOPEZ","","CODIGO PARA REGISTROS EN BLANCO","COMERCIO AL POR MAYOR DE PRODUCTOS COSMETICOS Y PERFUMERIA, DROGUERIA E HIGIENE",40.53103658,-3.63965278
"CPD","AV VALDELAPARRA (DE) 27 - NAVE 8, EDIF. 3","28108","POLIGONO INDUSTRIAL","916624208","916624211","cpd@cpdpublicidad.com","www.cpd.publicidad.com","PALOMA PUJOL DE PABLO-BLANCO","","PUBLICIDAD, MARKETING, SONIDO, CINE, TV, FERIAS, EVENTOS  Y CONGRESOS","MARKETING DIRECTO",40.53889230,-3.64696818
"CPI","CL ARAGONESES (DE LOS) 2 ACCESO 10","28108","POLIGONO INDUSTRIAL","916519355 / 607069701","916588772","jamie.mushinski@c-p-i.com","www.cpicompression.com","DAVID FERNANDEZ","","PRODUCCION DE PIEZAS DE PRECISION. RODAMIENTOS","FABRICACION Y REPARACION COMPRESORES",40.52357421,-3.66093000
"CREAAS","AV INDUSTRIA (DE LA) 13 PLANTA 2, OFICINA 23","28108","POLIGONO INDUSTRIAL","916516655 / 686736918","NO DISPONIBLE","palvarez@creaas.com","www.creaas.com","PABLO ALVAREZ","","PUBLICIDAD, MARKETING, SONIDO, CINE, TV, FERIAS, EVENTOS  Y CONGRESOS","MARKETING, PUBLICIDAD Y EVENTOS",40.53516074,-3.64723116
"CRISALFERRO","CL VALGRANDE (DE) 18 - NAVE F","28108","POLIGONO INDUSTRIAL","916616659","916618170","crisalferro@yahoo.es","NO DISPONIBLE","EMILIO RODRIGUEZ","","TRATAMIENTO DEL METAL, CARPINTERIA METALICA, CERRAJERIA, PERSIANAS Y TOLDOS. SOLDADURAS","CERRAJERIA DE ALUMINIO Y DE HIERRO",40.53859897,-3.65170103
"CRISTALERIAS A MEDIDA","CL GRANJA (DE LA) 13 - NAVE 2","28108","POLIGONO INDUSTRIAL","916636626 / 666562366","916639764","amedida@cristaleria-amedida.com","www.cristaleria-amedida.com","JOSE VALIÑA","","DECORACION, COMPLEMENTOS, CUADROS, CRISTALERIAS Y TRABAJOS EN ESCAYOLA","CRISTALERIA Y ENMARCACIONES",40.52867170,-3.65844918
"CRISTALERIAS ALCOBENDAS","CL JOSE ECHEGARAY (DE) 8 - LOCAL 1 - 6","28100","PARQUE EMP. CASABLANCA","916623830","916624031","taller@cristaleriaalcobendas.com","NO DISPONIBLE","CARMELO CALLEJAS","","DECORACION, COMPLEMENTOS, CUADROS, CRISTALERIAS Y TRABAJOS EN ESCAYOLA","CRISTALERIA Y TALLER",40.54230509,-3.65435273
"CROQUETILLA, S.L.","AV INDUSTRIA (DE LA) 4 PLANTA 1","28108","POLIGONO INDUSTRIAL","914905209","NO DISPONIBLE","mjmartinez@grupometropolitan.com","www.grupometropolitan.com","MARIA JOSE MARTINEZ","","INMOBILIARIAS Y CONSTRUCTORAS","GESTORIA INMOBILIARIA",40.53543008,-3.64232167
"CUADROS SEVILLA","CL VALGRANDE (DE) 14 - NAVE 31 Y 35","28108","POLIGONO INDUSTRIAL","916617718","916617718","cuadros.sevilla@gmail.com","www.cuadrossevilla.com","MANUEL SEVILLA","","DECORACION, COMPLEMENTOS, CUADROS, CRISTALERIAS Y TRABAJOS EN ESCAYOLA","FABRICACION MARCOS DE ENCARGO Y MUESTRARIOS PARA TIENDAS",40.53867346,-3.64996202
"CUCHARA Y CUCHARON","CL VALPORTILLO II (DE) 5 BAJO 1","28108","POLIGONO INDUSTRIAL","633811690","NO DISPONIBLE","virgi_granizo@hotmail.com","NO DISPONIBLE","ARACELI GARCIA","","BARES, CAFETERIAS, RESTAURANTES, HELADERIAS Y COMIDAS PREPARADAS","RESTAURANTE DE MENUS DIARIOS. COMIDA CASERA",40.53343097,-3.65581250
"CURISIT","CL ANABEL SEGURA (DE) 10 - EDIF. FITENI PLANTA 3º","28100","ARROYO DE LA VEGA","911846400","NO DISPONIBLE","contact@curisit.net","www.curisIt.net","FRANCOISE ACEVEDO / JOAQUIN REME","","GESTORES, ASESORES, CONSULTORES, INGENIEROS Y ADMINISTRACION DE FINCAS","GESTION DE PROYECTOS. DESARROLLO DE APLICACIONES CIENTIFICAS",40.53420975,-3.62762211
"DAILY","CL ANABEL SEGURA (DE) 11","28100","ARROYO DE LA VEGA","916625039","NO DISPONIBLE","alcobendas@thedailymeal.es","www.dailymeal.es","SALVADOR PALELLA / MERCEDES FIDALGO","","BARES, CAFETERIAS, RESTAURANTES, HELADERIAS Y COMIDAS PREPARADAS","RESTAURANTE",40.53329719,-3.62708410
"DANFOSS, S.A.","CL CALENDULA (DE LA) 93 - EDIF. I","28109","MINI-PARC","916586688","916637370","fernando.espejo@danfoss.com","www.danfoss.com","FERNANDO ESPEJO","","MAYORISTAS","COMERCIO AL POR MAYOR DE INDUSTRIA (EXCEPTO MINERIA Y QUIMICA) Y DE OTROS PRODUCTOS, MAQUINARIA Y MATERIAL NOCOP",40.52774217,-3.64515090
"DANOSA","CL GRANJA (DE LA) 3","28108","POLIGONO INDUSTRIAL","949888210","NO DISPONIBLE","info@danosa.com","www.danosa.com","LUCIA","","MATERIAL DE CONSTRUCCION, FONTANERIA.  SANEAMIENTOS, PUERTAS, ARMARIOS Y TOLDOS","COMERCIALIZACION Y FABRICACION DE PLANCHAS Y TELAS ASFALTICAS, CARTONES, AISLANTES E INSONORIZANTES, PRODUCTOS AUX. DE CONSTRUCION.",40.52662827,-3.65965131
"DANYSOFT INTERNACIONAL","AV INDUSTRIA (DE LA) 4","28108","POLIGONO INDUSTRIAL","902123146","902123145","danysoft@danysoft.com","www.danysoft.com","JOSE LUIS CASTAÑO ALONSO","","INFORMATICA","SERVICIOS DE CONSULTORIA INFORMATICA Y VENTA DE APLICACIONES",40.53543008,-3.64232167
"DE LA BRENA ASOCIADOS","CR FUENCARRAL (DE) 56 - DESPACHO39","28108","POLIGONO INDUSTRIAL","916294109 / 690993181","NO DISPONIBLE","msdelabrena@icam.es","www.delabrena.es","Mº SOLEDAD DE LA BRENA MELERO","","ABOGADOS, NOTARIOS Y REGISTRADORES DE LA PROPIEDAD","DESPACHO DE ABOGADOS",40.51888227,-3.65470622
"DEBEER, S.A.","AV DOCTOR SEVERO OCHOA (DEL) 29","28100","PARQUE EMP. CASABLANCA","914905930","914905925","info@grupobeer.com","www.grupobeer.com","CARLOS GUTIERREZ/ MARIA SÁNCHEZ","","MEDIOAMBIENTE. RECUPERACION Y RECICLADO","SALVAMENTO Y RECUPERACION DE BIENES TRAS SINIESTRO",40.54146460,-3.65239849
"DECIMAS","CR FUENCARRAL (DE) 44 EDF. 9, PUERTA L18, CAMPUS EMPRESARIALTRIBECA","28108","POLIGONO INDUSTRIAL","913295488","NO DISPONIBLE","buzon@decimas.es","www.decimas.es","NO DISPONIBLE","","ARTICULOS DEPORTIVOS, SUPERVIVENCIA Y AVENTURA","COMERCIO AL POR MENOR DE ARTICULOS DEPORTIVOS EN ESTABLECIMIENTOS ESPECIALIZADOS",40.51888227,-3.65470622
"DECOR","CL SEPULVEDA (DE) 6","28108","POLIGONO INDUSTRIAL","916620446 / 608407316","NO DISPONIBLE","decorcb@gmail.com","www.decor.com","ELISABET MARTINEZ PASCUAL","","MATERIAL DE CONSTRUCCION, FONTANERIA.  SANEAMIENTOS, PUERTAS, ARMARIOS Y TOLDOS","VENTA E INSTALACION DE PUERTAS Y ARMARIOS",40.52674742,-3.65561731
"DEGRIFE","CL CANTABRIA (DE) 2 PLANTA PRIMERA","28100","POLIGONO INDUSTRIAL","913933300","NO DISPONIBLE","departamento.personal@ogoza.com","NO DISPONIBLE","ALFREDO ALAMEDA","","MAYORISTAS","MAYORISTAS",,
"DEJAMELO A MI","AV VALDELAPARRA (DE) 98","28100","CASCO URBANO","650418821","NO DISPONIBLE","martin@dejameloami.es","www.dejameloami.es","MARTIN JORGE","","GESTORES, ASESORES, CONSULTORES, INGENIEROS Y ADMINISTRACION DE FINCAS","GESTION DOCUMENTAL EMPRESAS / PARTICULARES. CONCILIACION VIDA LABORAL",40.54647519,-3.66170495
"DEJAVUBRANDS","CL REYES CATOLICOS (DE LOS) 6 NAVE 111","28108","POLIGONO INDUSTRIAL","644390528","NO DISPONIBLE","josemaria@dejavubrands.com","www.dejavubrands.com","MARCO MATHE","","PUBLICIDAD, MARKETING, SONIDO, CINE, TV, FERIAS, EVENTOS  Y CONGRESOS","MARKETING OLFATIVO (AROMATIZAR ESPACIOS)",40.53652585,-3.65212849
"DEKRA","CL FRANCISCO GERVAS (DE) 4","28108","POLIGONO INDUSTRIAL","914059360","NO DISPONIBLE","estanislao.rodrigo@dekra.com","www.dekra.es","NO DISPONIBLE","","GESTORES, ASESORES, CONSULTORES, INGENIEROS Y ADMINISTRACION DE FINCAS","CONSULTORIA, GESTION, MARKETING ORIENTADO A LA AUTOMOCION",40.53019709,-3.65040790
"DEOBAN SYSTEMS, S.L","CL RAMON Y CAJAL (DE) 5","28100","CENTRO DE EMPRESAS","649980915","NO DISPONIBLE","jrbachiller@deoban.com","NO DISPONIBLE","JOSE REMON BACHILLER","","INFORMATICA","CONSULTARIA INFORMATICA Y DESARROLLO SOFTWARE",40.54113840,-3.65013715
"DESOUTTER, S.A.","AV INDUSTRIA (DE LA) 9","28108","POLIGONO INDUSTRIAL","915903152 / 916279100","915903161","frank.postiglioni@cp.com","NO DISPONIBLE","FRANK POSTIGLIONI","","FABRICACION, DISTRIBUCION Y ALQUILER DE SUMINISTROS A EMPRESAS","VENTA DE MAQUINARIA INDUSTRIAL",40.53479215,-3.64549290
"DESPACHOWEB","CR FUENCARRAL (DE) 44 PORTAL 6, BAJO, OFICINA 16","28108","POLIGONO INDUSTRIAL","911126762","NO DISPONIBLE","marketing@despachoweb.es","www.despachoweb.es","DAVID ESPINAR","","INFORMATICA","SERVICIOS DE DESPACHO VIRTUAL QUE INCLUYE APP GRATUITA Y PAGINAS WEB PARA PYMES Y PROFESIONALES",40.51888227,-3.65470622
"DEUTSCHE BANK","AV BRUSELAS (DE) 5","28108","ARROYO DE LA VEGA","914904750","NO DISPONIBLE","NO DISPONIBLE","www.deutsche-bank.es","NO DISPONIBLE","","CAJAS DE AHORRO, BANCA Y SERVICIOS FINANCIEROS","ENTIDAD FINANCIERA",40.53067721,-3.63274744
"DEVELOPMENT SYSTEMS","CL ANABEL SEGURA (DE) 11 - EDIFICIO B , CENTRO DE NEGOCIOS ALBATROS","28108","ARROYO DE LA VEGA","913022648 / 46","917660019","info@develosys.com","www.developmentsystems.es","CARMEN SANZ","","GESTORES, ASESORES, CONSULTORES, INGENIEROS Y ADMINISTRACION DE FINCAS","CONSULTORIA FORMACION Y SELECCIÓN",40.53329719,-3.62708410
"DFUTURA SOLUCIONES MULTIMEDIA","CR FUENCARRAL (DE) 44 - EDIFICIO 3 PLANTA 2 LOCAL 26","28108","POLIGONO INDUSTRIAL","911880781","NO DISPONIBLE","hlagotti@dfutura.com","www.dfutura.com","HUGO LAGOTTI MARTIN","","INFORMATICA","DISEÑO GRAFICO Y ONLINE. PROGRAMACION",40.51888227,-3.65470622
"DGQ MADADI","AV INDUSTRIA (DE LA) 13 - 1ª PLANTA, Nº 8","28108","POLIGONO INDUSTRIAL","916613865","916578034","abravo@grupodgq.com","www.grupodgq.com","DAVID GARCIA - QUIROS GARCIA","","CAJAS DE AHORRO, BANCA Y SERVICIOS FINANCIEROS","SERVICIOS FINANCIEROS Y CONTABLES",40.53516074,-3.64723116
"DIASORIN IBERIA","AV VEGA (DE LA) 1 - EDIFICIO 2 PLANTA 2ª","28108","ARROYO DE LA VEGA","916623321","916624286","pedidos@diasorin.it","www.diasorin.com","LUIS VARELA","","SECTOR MEDICO, FARMACEUTICO Y OPTICO","LABORATORIO",40.52433701,-3.63873734
"D'IBERICO","AV INDUSTRIA (DE LA) 46","28108","POLIGONO INDUSTRIAL","914905195","NO DISPONIBLE","deibericofuture@hotmail.com","www.d-iberico.com","JOAQUIN DE ALDAMA","","BARES, CAFETERIAS, RESTAURANTES, HELADERIAS Y COMIDAS PREPARADAS","HOSTELERIA",40.53383769,-3.65521777
"DICHROMA PHOTOGRAPHY","CR FUENCARRAL (DE) 44 EDF. 3, PLANTA 2, EDIFICIO 22","28108","POLIGONO INDUSTRIAL","916220961","NO DISPONIBLE","maripaz@dichroma-photography.com","www.dichroma-photography.com","MARIPAZ MARTINEZ","","FOTOGRAFIA","EXPOSICION FOTOGRAFICA",40.51888227,-3.65470622
"DICOMAT WAGO","AV INDUSTRIA (DE LA) 36","28108","POLIGONO INDUSTRIAL","902999872","916610089","info@dicomat-asetyc.com","www.dicomat.com","ALVARO MALLOL","","ELECTRICIDAD, ELECTRONICA, AUDIO Y TELECOMUNICACIONES","DISTRIBUCION MATERIAL ELECTRICO Y ELECTRONICO",40.53401929,-3.65310741
"DICOSTOCK","CL VALGRANDE (DE) 25 - NAVE 11","28108","POLIGONO INDUSTRIAL","916612977","916614124","dicostock@dicostock.com","www.dicostock.com","EDITH SKORZENY","","FRIO INDUSTRIAL","IMPORTACION DE EQUIPOS PARA FRIO INDUSTRIAL",40.53798288,-3.65327697
"DIF BROKER, A.F.","AV INDUSTRIA (DE LA) 4 EDF. 2, 2º PLANTA","28108","POLIGONO INDUSTRIAL","913540838","NO DISPONIBLE","bo@difbroker.es","www.difbroker.es","ARANCHA HERRERO","","CAJAS DE AHORRO, BANCA Y SERVICIOS FINANCIEROS","INTERMEDIACION FINANCIERA",40.53543008,-3.64232167
"DIGI MOBIL","CL ANABEL SEGURA (DE) 14 - 4ª PLANTA","28100","ARROYO DE LA VEGA","9166229867","916621756","administracion@digimobil.es","www.digimobil.es","GINA MOLDOVAN","","TELEFONIA, TELEFONIA MOVIL","SERVICIOS DE TELEFONIA MOVIL",40.53396457,-3.62736289
"DIMASA","CL SEPULVEDA (DE) 6 - NAVE 6 - 8","28108","POLIGONO INDUSTRIAL","916572535","916616082","general@dima-sa.com","www.dima-sa.es","ANDRES ALVAREZ","","MAYORISTAS","IMPORTACION Y VENTA DE MAQUINARIA DE ALIMENTACION DE HOSTELERIA",40.52645386,-3.65599502
"DIMEL CASTILLA","CL VALGRANDE (DE) 25 ACCESO D","28108","POLIGONO INDUSTRIAL","916572671","916625852","dimel.alcobendas@sonepar.es","www.dimel.es","JOSE CARLOS SIENRRA","","ELECTRICIDAD, ELECTRONICA, AUDIO Y TELECOMUNICACIONES","DISTRIBUIDORA DE MATERIAL ELECTRICO",40.53842221,-3.65303346
"DINSA WWD","AV INDUSTRIA (DE LA) 4 - EDIFICIO 2, PORTAL 2, BAJO IZQ","28108","POLIGONO INDUSTRIAL","914903667","916629521","gestion@dinsawwd.com","www.dinsawwd.com","EVA DE LA FUENTE","","MAYORISTAS","COMERCIO AL POR MAYOR DE BEBIDAS ESPIRITUOSAS",40.53543008,-3.64232167
"DISERMODA","CL ARAGONESES (DE LOS) 10","28108","POLIGONO INDUSTRIAL","913933300","NO DISPONIBLE","noelia.izquierdo@ogoza.com","www.ogoza.com","PEDRO SANCHEZ","","LOGISTICA Y ALMACENAJE","DEPOSITO Y ALMACENAMIENTO. SERVICIOS LOGISTICA, TRANSPORTE Y ALMACENAJE DEL GRUPO OGOZA",40.52221963,-3.66345800
"DISO MADRID","CL FRANCISCO GERVAS (DE) 1","28108","POLIGONO INDUSTRIAL","910011000","NO DISPONIBLE","info@disomadrid.es","NO DISPONIBLE","LUIS MUÑOZ GERENTE","","VENTA DE VEHICULOS A MOTOR. CONCESIONARIO OFICIAL","CONCESIONARIO OFICIAL OPEL",40.53042958,-3.65080103
"DISOP","AV VALDELAPARRA (DE) 31 - A","28108","POLIGONO INDUSTRIAL","916612244","916614255","contact@disop.com","www.disop.es","CRISTINA MENDOZA","","SECTOR MEDICO, FARMACEUTICO Y OPTICO","FABRICACION DE LIQUIDOS PARA LENTES DE CONTACTO",40.53875250,-3.64861288
"DISPLECOR, S.L.","CL VALGRANDE (DE) 19","28108","POLIGONO INDUSTRIAL","916612460","916612501","carmenmartinez@displecor.com","www.displecor.com","MANUEL MARTÍN BERNABÉ","","MANIPULACION Y DISTRIBUCION DE MADERA, PLASTICO, VIDRIO, PAPEL Y CARTON","TRATAMIENTO DE MADERAS Y PLASTICOS PARA LA DECORACION",40.53745331,-3.65104658
"DISTA","AV INDUSTRIA (DE LA) 30","28108","POLIGONO INDUSTRIAL","916635000","916635184","santander_jorge@lilly.com","www.lilly.es","ALEJANDRO DE SIMON","","MAYORISTAS","COMERCIO AL POR MAYOR DE PRODUCTOS FARMACEUTICOS",40.53425345,-3.65158382
"DISTRIBUIDORA JARDIN Y DEPORTE","CL VALGRANDE (DE) 23 - NAVE J","28108","POLIGONO INDUSTRIAL","916612227","916615164","info@djd.es","www.djd.es","FRANCISCO CRUZ","","ARTICULOS DEPORTIVOS, SUPERVIVENCIA Y AVENTURA","COMPRA Y VENTA DE ARTICULOS DEPORTIVOS",40.53797722,-3.65221937
"DOCALIA","AV PEÑALARA 35 C/V C/DELA PEDRIZA","28108","POLIGONO INDUSTRIAL","916574010","918070106","s_arroyo_rsi@cajarural.com","www.docalia.com","CARLOS CERVERO","","ARTES GRAFICAS, IMPRENTA, ENCUADERNACION, FOTOCOPIAS","CENTRO DE PROTECCION DE DATOS Y TRATAMIENTOS DE DOCUMENTOS BANCARIOS, IMPRENTA,",40.53325003,-3.66267316
"DOCTORE AUTO","AV INDUSTRIA (DE LA) 34","28108","POLIGONO INDUSTRIAL","910117179","NO DISPONIBLE","doctoreauto@gmail.com","www.doctoreauto.com","ALBERTO MUÑOZ","","REPARACION DE AUTOMOVILES Y OTROS VEHICULOS A MOTOR. ITV","MECANICA EN GENERAL, NEUMATICOS Y LAVADO A MANO",40.53410498,-3.65254259
"DOMICILIA GRUPO NORTE","CL JOSE ECHEGARAY (DE) 4 Esq. Avda. Doctor Severo Ochoa, 42, EDF. B-6","28100","PARQUE EMP. CASABLANCA","916574087 / 600501133","NO DISPONIBLE","recepcion.alcobendas@grupo-norte.es","www.grupo-norte.es","ALBA ROMAN GASCON","","SERVICIOS A LA COMUNIDAD: RESIDENCIAS DE ANCIANOS, AYUDA A LA TERCERA EDAD","SERVICIOS SOCIALES",40.54190758,-3.65466022
"DOMINION","CL ARAGONESES (DE LOS) 5","28108","POLIGONO INDUSTRIAL","914905120 / 639205631","NO DISPONIBLE","josemaria.herrero@dominion.es","www.dominion.es","JOSE MARIA HERRERO","","ELECTRICIDAD, ELECTRONICA, AUDIO Y TELECOMUNICACIONES","TELECOMUNICACIONES",40.52383168,-3.66025414
"DOMPAL","CL REYES CATOLICOS (DE LOS) 10","28108","POLIGONO INDUSTRIAL","916620994","916620907","domingodelpalacio@dompal.es","www.dompal.es","JUAN CARLOS TEJERO DE PABLOS","","DISTRIBUCION DE DIVERSOS PRODUCTOS DE CONSUMO","DISTRIBUCION DE PRODUCTOS DE ALIMENTACION Y GOURMET",40.53745534,-3.65448928
"DPS PROJECT MANAGEMENT","CL QUEJIGO (DEL) 60","28100","CASCO URBANO","629807916","916615006","dps@dpspm.com","www.dpspm.com","JAVIER POOLE DERQUI","","INMOBILIARIAS Y CONSTRUCTORAS","PROJECT MANAGEMENT, GESTION DE PROYECTOS DE EDIFICACION,URBANIZACION Y DIRECCION, PLANIFICACION DE CONTROL DE COSTES Y PLAZOS",40.52607677,-3.63272019
"DREAMSITE","AV INDUSTRIA (DE LA) 4 EDF. 0, LOCAL C","28108","POLIGONO INDUSTRIAL","912290080","NO DISPONIBLE","info@dreamsite.es","www.dreamsite.es","MIGUEL ANGEL ROMANICO","","INFORMATICA","SERVICIOS INFORMATICOS",40.53543008,-3.64232167
"DRIFTONE","CL SAN BERNARDO (DE) 11","28108","POLIGONO INDUSTRIAL","912996664 / 697434107","NO DISPONIBLE","info@drift-one.com","www.drift-one.com","AHMAD","","LAVADO Y ENGRASE DE VEHICULOS","LAVADO VEHICULOS A MANO",40.53602265,-3.64598520
"DRINELA SUPPORT","CL REYES CATOLICOS (DE LOS) 6 NAVE 403","28108","POLIGONO INDUSTRIAL","695589035 / 91916618001","NO DISPONIBLE","mfuente@drinela.es","www.drinela.es","MIGUEL DE LA FUENTE","","INFORMATICA","ASESORAMIENTO, SOPORTE Y MANTENIMIENTO EN SISTEMAS INFORMATICOS, REDES Y COMUNICACIONES",40.53652585,-3.65212849
"DT ENERGY","AV DOCTOR SEVERO OCHOA (DEL) 29","28100","PARQUE EMP. CASABLANCA","916574367","NO DISPONIBLE","ma.castro@setech.es","www.setech.es","ARACELI CASTRO ZATO","","GESTORES, ASESORES, CONSULTORES, INGENIEROS Y ADMINISTRACION DE FINCAS","CONSULTORIA EFICIENCIA ENERGETICA Y AHORRO",40.54146460,-3.65239849
"DUPESAN","CL REYES CATOLICOS (DE LOS) 2","28108","POLIGONO INDUSTRIAL","916629212","NO DISPONIBLE","dupesan2005@yahoo.es","dupesan.es","JUAN CARLOS RODRIGUEZ","","REPARACION DE AUTOMOVILES Y OTROS VEHICULOS A MOTOR. ITV","TALLER REPARACION VEHICULOS",40.53675886,-3.65032735
"DURPAL 2013","CL VALGRANDE (DE) 25 NAVE 13","28108","POLIGONO INDUSTRIAL","910135565","NO DISPONIBLE","carroceriadupesan2005@gmail.com","www.dupesan.es","PABLO SANCHEZ","","REPARACION DE AUTOMOVILES Y OTROS VEHICULOS A MOTOR. ITV","CHAPA / CARROCERIA",40.53788986,-3.65337205
"DURPAL 2013","CL REYES CATOLICOS (DE LOS) 2","28108","POLIGONO INDUSTRIAL","910135565","NO DISPONIBLE","carroceriadupesan2005@gmail.com","www.dupesan.es","PABLO SANCHEZ","","REPARACION DE AUTOMOVILES Y OTROS VEHICULOS A MOTOR. ITV","CHAPA / CARROCERIA",40.53675886,-3.65032735
"DYNAMIC BUSINESS SOLUTIONS","AV DOCTOR SEVERO OCHOA (DEL) 39 LOCAL I","28100","PARQUE EMP. CASABLANCA","916613977","NO DISPONIBLE","a.munoz@dbsconcept.es","NO DISPONIBLE","MARIA ANTONIA MUÑOZ","","PERFUMERIAS, DROGUERIAS, ARTICULOS DE PELUQUERIA Y BELLEZA","DISTRIBUCION DE PRODUCTOS DE PELUQUERIA Y COSMETICA",40.54136708,-3.65367784
"E.S. SHELL VALDELAPARRA","AV VALDELAPARRA (DE) 3","28100","POLIGONO INDUSTRIAL","916619962","NO DISPONIBLE","es.valdelaparra@disagrupo.es","www.shell.es","EMILIO","","ESTACIONES DE SERVICIO Y EMPRESAS AUXILIARES","GASOLINERA",40.53737784,-3.64234265
"EASY DATA HOST","CL ANABEL SEGURA (DE) 10 PLANTA 3ª","28100","ARROYO DE LA VEGA","910052179","NO DISPONIBLE","info@easydatahost.com","www.easydatahost.com","MANUEL RIES FERNANDEZ","","INFORMATICA","CENTROS DE DATOS",40.53420975,-3.62762211
"EASYVISTA","AV INDUSTRIA (DE LA) 4 - EDIFICIO 3,  2º B","28108","POLIGONO INDUSTRIAL","902430527 / 916573926","NO DISPONIBLE","info@easyvista.com","www.easyvista.com","BARTOLOME MUÑOZ","","INFORMATICA","INFORMATICA",40.53543008,-3.64232167
"EBSCO","AV BRUSELAS (DE) 7 - PLTA. 3, IZQUIERDA","28108","ARROYO DE LA VEGA","914902480","914902325","mrosado@ebsco com","www.ebsco.com","ALBERTO ALASTUY","","INFORMATICA","SERVICIOS PARA EMPRESAS, BIBLIOTECAS Y CENTROS DE INVESTIGACION DE HERRAMIENTAS DE GESTION DE RECURSOS-E, TEXTOS Y BASES DE DATOS",40.53081832,-3.63281376
"ECONOCOM OSIATIS","CL ARAGONESES (DE LOS) 7 - A POSTERIOR","28108","POLIGONO INDUSTRIAL","916574300","916615990","madrid@osiatis.es","www.osiatis.es","JUAN JOSE TERRON","","INFORMATICA","SERVICIOS INFORMATICOS. REPARACION Y VENTA DE ORDENADORES",40.52367889,-3.66045313
"EDACAR AUTOMOCION","CL VALGRANDE (DE) 20 - NAVE 4","28108","POLIGONO INDUSTRIAL","916613161","916626575","info@edacar.es","www.edacar.es","EDUARDO GOMEZ VILA","","REPARACION DE AUTOMOVILES Y OTROS VEHICULOS A MOTOR. ITV","MECANICA DEL AUTOMOVIL",40.53894291,-3.65166730
"EDEZIGN","CR FUENCARRAL (DE) 44 PORTAL 7, BAJO","28108","POLIGONO INDUSTRIAL","650594221 / 917645570","NO DISPONIBLE","l.lopez@edezign.es","www.edezign.es","LUIS LOPEZ","","ELECTRICIDAD, ELECTRONICA, AUDIO Y TELECOMUNICACIONES","ILUMINACION Y DOMOTICA",40.51888227,-3.65470622
"EDITORIAL LIBSA","CL SAN RAFAEL (DE) 4","28108","POLIGONO INDUSTRIAL","916572580","916572583","dcaramazana@libsa.es","www.libsa.es","DANIEL CARAMAZANA","","EDITORIALES","EDITORIAL LIBROS",40.52438163,-3.65869603
"EDUCA E-NANOS","AV BRUSELAS (DE) 5 - BAJO","28108","ARROYO DE LA VEGA","914903580","916625683","direccion@educaenanos.es","www.educaenanos.es","LARA GALLET","","ESCUELAS INFANTILES, GUARDERIAS, COLEGIOS","ESCUELA INFANTIL",40.53067721,-3.63274744
"EDUQA","CL CALENDULA (DE LA) 95 2","28109","MINI-PARC","916250420 / 913029626","NO DISPONIBLE","lamoraleja@eduqa.es","www.escuelainfantileduqa.es","RAQUEL SANZ GONZALEZ","","ESCUELAS INFANTILES, GUARDERIAS, COLEGIOS","CENTRO DE EDUCACION INFANTIL",40.52792964,-3.64446628
"EFANSA","CL SEPULVEDA (DE) 23","28108","POLIGONO INDUSTRIAL","914841790","916625303","felixfuente@efansa.es","www.efansa.es","FELIX DE LA FUENTE","","ELECTRICIDAD, ELECTRONICA, AUDIO Y TELECOMUNICACIONES","FABRICANTE DE MATERIAL ELECTRICO Y  SISTEMAS DE CONTROL Y AUTOMATIZACION",40.52881188,-3.65415255
